comment,GPT5,DeepSeek,AI_Agent,consensus
"у ебнутых аутистов до сих пор кровавая пена, ВЕДЬ ОН ПОСМЕЛ ТРОНУТЬ ИГРУШЕЧКУ, НЕ ЗАБУДЕМ НЕ ПРОСТИМ! Потому что если критик не может критиковать себя(то есть признать ошибки), то это не критик, а мудак. Ибо критическое мышление начинается с критического мышления по отношению к себе.",yes,yes,yes,yes
"Так вот кто своровал снег у Владивостока этой зимой. Шизануться, даже в мать его Лас Вегасе этой зимой был сраный снег.",no,yes,no,disagreement
"согласна, типичный спермобак",yes,no,yes,disagreement
"Гандоны - это ты и твой хозяин - пидорас-пригожин . А те, что на оппиках - уважаемые люди, несущие свет и освобождение в тоталитарную парашу.",yes,yes,yes,yes
"ну вот, вопрос только в том как это изменить. Так то хочется не сбежать, а изменить. Но сбежать путь наименьшего сопротивления. Я прекрасно понимаю что мир изменить я не смогу, я смогу повлиять только на свою семью, детям донести что такое хорошо и что такое плохо.",no,no,no,no
"18. Смотрел их прям пиздец мелким, они вообще были первыми кого я смотреть начал.",yes,yes,yes,yes
"18 марта российские СМИ обратили внимание на фотографии с главой Следственного комитета Александром Бастрыкиным, сделанные во время личного приема граждан 13 марта. Во время встречи Бастрыкин в какой-то момент смотрит через лупу на экран ноутбука, обсуждая дело Дмитрия Зекова. Фотографии Бастрыкина с лупой начали обсуждать в соцсетях и сочинять мемы. После этого пресс-служба СК выступила с официальным объяснением, которое вызывает еще больше вопросов. Откуда и почему на видео появляются странные тени и следы, ответить сложно. Качество записи не позволяет сделать однозначных выводов. Динамичное изображение перемещающегося человека в приближении после обработки может выглядеть как перемещающееся пятно. В некоторых случаях использование программных средств обработки изображений, в том числе цифровое увеличение, не дает такого эффекта, как оптическое увеличение с использованием, например, лупы. Увеличенные пиксели могут значительно исказить восприятие информации , говорится в ответе на запрос News.ru. Это сообщение не публиковалось на сайте СК, но официальный твиттер ведомства ретвитнул пост News.ru. Председатель СК России на проводимых приемах граждан всегда внимательно относится к деталям, которые могут иметь принципиальное значение для установления истины по уголовному делу , добавили в ведомстве. зачем Бастрыкину лупа? В репортаже следственного комитета видно, что при работе с документами Александр Бастрыкин надевает очки для чтения. Чтобы рассмотреть видеозапись, он снимает очки и берет лупу. Лупу советуют использовать вместо очков, чтобы рассмотреть мелкие надписи или, например, детали сборных моделей. Скорее всего, Бастрыкину просто удобнее рассматривать детали на экране через лупу, чем в очках.",yes,no,no,disagreement
"Это где я написал, что собака не виновата?!? Тут как с детьми - как воспитали, такой результат и получили. Но за детей кто в первую очередь несёт ответственность? Так что в любом случае вначале надо п..здить хозяина, а уж потом думать, что с собакой делать.",no,no,no,no
"Ну не прямо сразу же ватан бросился к своему кредитному ноутпуку. Пришёл после 18:00, хрючева въебал, туда-сюда, уже 2 часа прошло. 20:00 - время Ворл оф танкс, 2-3 часа танкист там провёл. Бац, уже 23:00 - время бороться с либирахами и хохлами. Проверил новости, зашёл на пикабу, glav.su, cont.ws, ну либерахи, держитесь... Патриот заходит в news",yes,yes,no,disagreement
"И как они отобрали за путина, не перебрав все бюллетени? А если перебрали - почему не посчитали сразу?",yes,yes,no,disagreement
"Имеется ввиду, что они впервые все 6 встретились за одним столом.",yes,no,no,disagreement
"Не беспокойтесь! Её в женской колонии за такое другие женщины, мягко говоря, не пожалуют.",yes,no,no,disagreement
"Пошевелиться не могла - классический сонный паралич. Прикольная тема, была у меня один раз. Вообще считается, что если спишь на спине, то шанс явления больше - по крайней мере об этом говорит существующая статистика . Но я спал на боку. Сам приход заключался в чётком ощущении того, что со стороны ног ко мне приближается нечто тёмное, с силуэтом высокого и широкого человека... лёгкая версия если сравнивать с иными рассказами, да и из оцепенения я полностью вырвался секунд за восемь. Но бодрит, бодрит...",no,yes,no,disagreement
"Статью еще читаю, но сразу вопрос - цитаты Гуры о 40К были приведены из монографии или статьи 2010 года, которая и рассматривается в этой статье (Наполеон Бонапарт - кавалер Ордена Святого Андрея Первозванного!)?",no,yes,no,disagreement
"Из моих сомообразных рекорд принадлежал мешкожаберному, :)",no,no,no,no
"Это СЛИШКОМ грустно. Тут даже посмеятся не выйдет. Это воплощение унылого говна. Хотя майка, конечно, нагоняет дурные мысли.",yes,yes,yes,yes
"Опыта небыло тогда, встал куда взяли. Нам всякие скрабы и кремы выдавали, но до идеальной чистоты руки отмыть не удавалось",yes,no,no,disagreement
"Я хуею как сосачеры, где большиство прыщавые жиртресты и рахиты, выступают против бодипозитивизма. Хочешь чтобы тебя называли гноем, а ты страдал и не выходил из дома из-за насмешек, набирая еще жиры и тд ? Ваше дело, мудилы, у вас в Барнауле так и делают. Продолжайте полнеть.",yes,yes,yes,yes
"Думаю, эта вывеска в салоне тату, а ТС перепутал.",no,no,no,no
"Ему уже не объяснишь, это бракованный кот. Если ещё на гарантии, то можно попытаться обратно сдать, если нет, то придётся отпускать на вольные хлеба.",yes,no,no,disagreement
"А у 12? Я вижу вы разбираетесь, а мне важно",no,no,no,no
"Источники мне постоянно показывают, только успеваю отмахиваться... Мне бы диаметрально противоположных источников",yes,no,no,disagreement
"Потому что если платить не будут, казахская армия вместе с США, НАТО и Украиной, быстро и решительно прогонит пидорашек напалмом, артиллерией, танками и ракетами обратно в снежную нигерию, казахи шутить и сюсюкаться с руснёй не будут.",yes,yes,yes,yes
"О, типичная яжемать что ли? Заказывай еду на дом, нанимай няню, думай. Дорого? Твои проблемы. Решение рожать было твоим. А вот подумать о неудобствах, которые ты создаешь своей коляской в магазинах, где и без того узкие проходы, у яжематери наверное вообще в голову не приходит? Интересно откуда такое мировоззрение берется у некоторых что им все должны?",yes,no,no,disagreement
"Да хватит ныть то уже,ни когда это не закончится! Есть только один выход,самому добраться до кормушки ! Так что люди,не обманывайте себя! ps: да,я пессимист :)",yes,no,no,disagreement
"Сдаётся мне, что процентов 80 в написанном - лютый пиздеж",yes,yes,yes,yes
"Тут такое дело, что корки диплома на форуме это малява от авторитетов о признании твоих заслуг на воле. Паханы должны считаться. А там уже как человек себя покажет. Сколько построил, сколько развалилось. Рисовать узоры можно только для пацанов, ищущих романтики в нашем деле. А вот рассчитать, построить, остаться в своих штанах и чтобы ручки не накололи дверные это уменья требует.",yes,no,no,disagreement
"Не про дешевые продукты я не говорю. До такого нужно постараться не дойти.. У меня, вот эти акционные сосиски и разную ерунду дешевую даже так сказать товарищ о четырех ногах, что ответственен за безопасность участка игнорит. И меня это пугает. Он у меня уже сутки голодает - отказался от курицы, курицы купленной в магазине, человечьем магазине, .. , вот я репу и чешу, что в этой блядь курице-то, мож зря я свою линию гну и не даю ему ничего?",yes,yes,yes,yes
"Автор, а годиков-то сколь тебе? Может рано ипохондрить?",yes,no,no,disagreement
"Ряяя, вот тама, где мне мнение приятно - тама норм, а там, где мне неприятно - плахой абзор Мы тебя поняли",yes,no,no,disagreement
"А квас какой? Сам делаешь, или окрошечный на разлив из пивнухи?",no,no,no,no
"Конечно, я вас не поняла. Мы оба комментируем OMGh5LoL, в той истории нигде не усматривается, что ребёнок испугался. Там скорее родители испугались противодействия родителей остальных детей",yes,no,no,disagreement
"Я свяжу тебе горло, и ты умрёшь. мимо айва",yes,no,no,disagreement
"Контраргументы будут или только говном тред мазать изволите-с, Алексей Владимирович ?",yes,yes,yes,yes
"Он просто знает, что для того, чтобы что-то утверждать одного эксперимента недостаточно, нужно провести несколько.",no,no,no,no
"Сам факт, что фильм, снятый в этом веке нельзя найти даже на торрентах, говорит о том, что фильм этот никому особо не нужен. А какой фильм никому особо не нужен? Правильно, говённый фильм.",no,no,no,no
"Был случай тоже, где-то за границей, мужик помер от рака, а его жене от его имени на все праздники и день рождения и так далее приходил букет любимых цветов и записка с пожеланиями и разными приятностями... Короче бабу через годика два-три в дурку закрыли, а оказалось, что муж перед смертью заказ в цветочном с отложенной обслугой заказал и наперёд за 10 лет оплатил всё...",yes,no,no,disagreement
"Мальчик золотистый ретривер,не собака,а большое сердце,для улицы не приспособлен совершенно((((. Судя по виду от заводчиков,возможно есть чип или клеймо",no,no,no,no
"Безвольные рабы снова одобряют царька, ничего не меняется в этой убогой стране.",no,no,no,no
"Чем дальше читаю комменты, тем сильнее убеждаюсь, что меня в армии по части жратвы 2 года круто наёбывали (",no,no,no,no
"Но я ни за что не вернусь в анимублядский, моча у меня пасскод отобрала.",yes,no,no,disagreement
"Ну уж нет. Зона племен, как в Пакистане нам на границах не нужна. да и вопрос Донбасса решать таки нужно уже.",no,no,no,no
"Вчерась пацан лет 8 в магазине телефон сует продавцу что бы та считала карту магазина,та охуев от 10 Айфона спрашивает- это мамы телефон?! ,пацан говорит- нет,мой и удаляется с корешем в даль есть купленные печеньки, ещё и чеки взяли сорванцы,я конечно тоже в ахуе был...",yes,no,yes,disagreement
